sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 29959] 7278224
[3, 5, 7, 11, 389, 29983] 1794702
[3, 5, 7, 11, 389, 29989] 1520232
[3, 5, 7, 11, 389, 30011] 981705
[3, 5, 7, 11, 389, 30013] 951596
[3, 5, 7, 11, 389, 30029] 765209
[3, 5, 7, 11, 389, 30047] 628705
[3, 5, 7, 11, 389, 30059] 562539
[3, 5, 7, 11, 389, 30071] 509351
[3, 5, 7, 11, 389, 30089] 446524
[3, 5, 7, 11, 389, 30091] 440511
[3, 5, 7, 11, 389, 30097] 423480
[3, 5, 7, 11, 389, 30103] 407772
[3, 5, 7, 11, 389, 30109] 393204
[3, 5, 7, 11, 389, 30113] 384086
[3, 5, 7, 11, 389, 30119] 371240
[3, 5, 7, 11, 389, 30133] 344387
[3, 5, 7, 11, 389, 30137] 337341
[3, 5, 7, 11, 389, 30139] 333962
[3, 5, 7, 11, 389, 30161] 301037
[3, 5, 7, 11, 389, 30169] 290713
[3, 5, 7, 11, 389, 30181] 276497
[3, 5, 7, 11, 389, 30187] 269895
[3, 5, 7, 11, 389, 30197] 259577
[3, 5, 7, 11, 389, 30203] 253745
[3, 5, 7, 11, 389, 30211] 246479
[3, 5, 7, 11, 389, 30223] 236320
[3, 5, 7, 11, 389, 30241] 222530
[3, 5, 7, 11, 389, 30253] 214247
[3, 5, 7, 11, 389, 30259] 210338
[3, 5, 7, 11, 389, 30269] 204176
[3, 5, 7, 11, 389, 30271] 202995
[3, 5, 7, 11, 389, 30293] 190737
[3, 5, 7, 11, 389, 30307] 183664
[3, 5, 7, 11, 389, 30313] 180828
[3, 5, 7, 11, 389, 30319] 178059
[3, 5, 7, 11, 389, 30323] 176269
[3, 5, 7, 11, 389, 30341] 168680
[3, 5, 7, 11, 389, 30347] 166321
[3, 5, 7, 11, 389, 30367] 158839
[3, 5, 7, 11, 389, 30389] 151356
[3, 5, 7, 11, 389, 30391] 150729
[3, 5, 7, 11, 389, 30403] 146992
[3, 5, 7, 11, 389, 30427] 140051
[3, 5, 7, 11, 389, 30431] 138938
[3, 5, 7, 11, 389, 30449] 134242
[3, 5, 7, 11, 389, 30467] 129814
[3, 5, 7, 11, 389, 30469] 129350
[3, 5, 7, 11, 389, 30491] 124452
[3, 5, 7, 11, 389, 30493] 124029
[3, 5, 7, 11, 389, 30497] 123183
[3, 5, 7, 11, 389, 30509] 120691
[3, 5, 7, 11, 389, 30517] 119089
[3, 5, 7, 11, 389, 30529] 116793
[3, 5, 7, 11, 389, 30539] 114952
[3, 5, 7, 11, 389, 30553] 112471
[3, 5, 7, 11, 389, 30557] 111792
[3, 5, 7, 11, 389, 30559] 111439
[3, 5, 7, 11, 389, 30577] 108425
[3, 5, 7, 11, 389, 30593] 105866
[3, 5, 7, 11, 389, 30631] 100337
[3, 5, 7, 11, 389, 30637] 99523
[3, 5, 7, 11, 389, 30643] 98721
[3, 5, 7, 11, 389, 30649] 97922
[3, 5, 7, 11, 389, 30661] 96389
[3, 5, 7, 11, 389, 30671] 95136
[3, 5, 7, 11, 389, 30677] 94408
[3, 5, 7, 11, 389, 30689] 92950
[3, 5, 7, 11, 389, 30697] 92025
[3, 5, 7, 11, 389, 30703] 91352
[3, 5, 7, 11, 389, 30707] 90911
[3, 5, 7, 11, 389, 30713] 90223
[3, 5, 7, 11, 389, 30727] 88730
[3, 5, 7, 11, 389, 30757] 85594
[3, 5, 7, 11, 389, 30763] 85020
[3, 5, 7, 11, 389, 30773] 84044
[3, 5, 7, 11, 389, 30781] 83298
[3, 5, 7, 11, 389, 30803] 81257
[3, 5, 7, 11, 389, 30809] 80724
[3, 5, 7, 11, 389, 30817] 80012
[3, 5, 7, 11, 389, 30829] 79009
[3, 5, 7, 11, 389, 30839] 78187
[3, 5, 7, 11, 389, 30841] 78026
[3, 5, 7, 11, 389, 30851] 77224
[3, 5, 7, 11, 389, 30853] 77065
[3, 5, 7, 11, 389, 30859] 76575
[3, 5, 7, 11, 389, 30869] 75790
[3, 5, 7, 11, 389, 30871] 75625
[3, 5, 7, 11, 389, 30881] 74855
[3, 5, 7, 11, 389, 30893] 73972
[3, 5, 7, 11, 389, 30911] 72696
[3, 5, 7, 11, 389, 30931] 71316
[3, 5, 7, 11, 389, 30937] 70907
[3, 5, 7, 11, 389, 30941] 70647
[3, 5, 7, 11, 389, 30949] 70123
[3, 5, 7, 11, 389, 30971] 68714
[3, 5, 7, 11, 389, 30977] 68315
[3, 5, 7, 11, 389, 30983] 67943
[3, 5, 7, 11, 389, 31013] 66151
[3, 5, 7, 11, 389, 31019] 65811
[3, 5, 7, 11, 389, 31033] 64990
[3, 5, 7, 11, 389, 31039] 64651
[3, 5, 7, 11, 389, 31051] 63999
[3, 5, 7, 11, 389, 31063] 63363
[3, 5, 7, 11, 389, 31069] 63059
[3, 5, 7, 11, 389, 31079] 62529
[3, 5, 7, 11, 389, 31081] 62415
[3, 5, 7, 11, 389, 31091] 61889
[3, 5, 7, 11, 389, 31121] 60415
