([2, 2, 2, 2, 29], [1, None, None, None, -1])
([2, 2, 2, 2, 23], [1, None, None, None, -2])
([2, 2, 2, 2, 19], [1, None, None, None, -3])
([2, 2, 2, 2, 17], [1, None, None, None, -4])
([2, 2, 2, 17, 131], [1, None, None, 1, -1])
([2, 2, 2, 17, 127], [1, None, None, 1, -2])
([2, 2, 2, 17, 113], [1, None, None, 1, -3])
([2, 2, 2, 17, 109], [1, None, None, 1, -4])
([2, 2, 2, 17, 107], [1, None, None, 1, -5])
([2, 2, 2, 17, 103], [1, None, None, 1, -6])
([2, 2, 2, 17, 101], [1, None, None, 1, -7])
([2, 2, 2, 17, 97], [1, None, None, 1, -8])
([2, 2, 2, 17, 89], [1, None, None, 1, -9])
([2, 2, 2, 17, 83], [1, None, None, 1, -10])
([2, 2, 2, 17, 79], [1, None, None, 1, -11])
([2, 2, 2, 17, 73], [1, None, None, 1, -12])
([2, 2, 2, 17, 71], [1, None, None, 1, -13])
([2, 2, 2, 17, 67], [1, None, None, 1, -14])
([2, 2, 2, 17, 61], [1, None, None, 1, -15])
([2, 2, 2, 17, 59], [1, None, None, 1, -16])
([2, 2, 2, 17, 53], [1, None, None, 1, -17])
([2, 2, 2, 17, 47], [1, None, None, 1, -18])
([2, 2, 2, 17, 43], [1, None, None, 1, -19])
([2, 2, 2, 17, 41], [1, None, None, 1, -20])
([2, 2, 2, 17, 37], [1, None, None, 1, -21])
([2, 2, 2, 17, 31], [1, None, None, 1, -22])
([2, 2, 2, 17, 29], [1, None, None, 1, -23])
([2, 2, 2, 17, 23], [1, None, None, 1, -24])
([2, 2, 2, 17, 19], [1, None, None, 1, -25])
([2, 2, 2, 19, 73], [1, None, None, 2, -1])
([2, 2, 2, 19, 71], [1, None, None, 2, -2])
([2, 2, 2, 19, 67], [1, None, None, 2, -3])
([2, 2, 2, 19, 61], [1, None, None, 2, -4])
([2, 2, 2, 19, 59], [1, None, None, 2, -5])
([2, 2, 2, 19, 53], [1, None, None, 2, -6])
([2, 2, 2, 19, 47], [1, None, None, 2, -7])
([2, 2, 2, 19, 43], [1, None, None, 2, -8])
([2, 2, 2, 19, 41], [1, None, None, 2, -9])
([2, 2, 2, 19, 37], [1, None, None, 2, -10])
([2, 2, 2, 19, 31], [1, None, None, 2, -11])
([2, 2, 2, 19, 29], [1, None, None, 2, -12])
([2, 2, 2, 19, 23], [1, None, None, 2, -13])
([2, 2, 2, 23, 43], [1, None, None, 3, -1])
([2, 2, 2, 23, 41], [1, None, None, 3, -2])
([2, 2, 2, 23, 37], [1, None, None, 3, -3])
([2, 2, 2, 23, 31], [1, None, None, 3, -4])
([2, 2, 2, 23, 29], [1, None, None, 3, -5])
([2, 2, 2, 29, 31], [1, None, None, 4, -1])
([2, 2, 11, 11, 23], [1, None, 1, None, -1])
([2, 2, 11, 23, 251], [1, None, 1, 1, -1])
