([2, 2, 11, 11, 23], [1, None, 1, None, -1])
([2, 2, 13, 13, 17], [1, None, 2, None, -1])
([2, 2, 13, 17, 17], [1, None, 2, 1, None])
([2, 5, 5, 17, 61], [1, 1, None, 1, -1])
([2, 5, 5, 17, 59], [1, 1, None, 1, -2])
([2, 5, 5, 17, 53], [1, 1, None, 1, -3])
([2, 5, 5, 17, 47], [1, 1, None, 1, -4])
([2, 5, 5, 17, 43], [1, 1, None, 1, -5])
([2, 5, 5, 17, 41], [1, 1, None, 1, -6])
([2, 5, 5, 17, 37], [1, 1, None, 1, -7])
([2, 5, 5, 17, 31], [1, 1, None, 1, -8])
([2, 5, 5, 17, 29], [1, 1, None, 1, -9])
([2, 5, 5, 17, 23], [1, 1, None, 1, -10])
([2, 5, 5, 19, 43], [1, 1, None, 2, -1])
([2, 5, 5, 19, 41], [1, 1, None, 2, -2])
([2, 5, 5, 19, 37], [1, 1, None, 2, -3])
([2, 5, 5, 19, 31], [1, 1, None, 2, -4])
([2, 5, 5, 19, 29], [1, 1, None, 2, -5])
([2, 5, 5, 19, 23], [1, 1, None, 2, -6])
([2, 5, 5, 23, 31], [1, 1, None, 3, -1])
([2, 5, 5, 23, 29], [1, 1, None, 3, -2])
([2, 5, 11, 11, 89], [1, 1, 1, None, -1])
([2, 5, 11, 11, 83], [1, 1, 1, None, -2])
([2, 5, 11, 11, 79], [1, 1, 1, None, -3])
([2, 5, 11, 11, 73], [1, 1, 1, None, -4])
([2, 5, 11, 11, 71], [1, 1, 1, None, -5])
([2, 5, 11, 11, 67], [1, 1, 1, None, -6])
([2, 5, 11, 11, 61], [1, 1, 1, None, -7])
([2, 5, 11, 11, 59], [1, 1, 1, None, -8])
([2, 5, 13, 13, 37], [1, 1, 2, None, -1])
([2, 7, 7, 11, 19], [1, 2, None, 2, -1])
([2, 7, 7, 11, 17], [1, 2, None, 2, -2])
([3, 3, 3, 5, 7], [2, None, None, 2, -1])
([3, 3, 5, 5, 7], [2, None, 2, None, -1])
([3, 3, 5, 7, 103], [2, None, 2, 1, -1])
([3, 3, 5, 7, 101], [2, None, 2, 1, -2])
([3, 3, 5, 7, 97], [2, None, 2, 1, -3])
([3, 3, 5, 7, 89], [2, None, 2, 1, -4])
([3, 3, 5, 7, 83], [2, None, 2, 1, -5])
([3, 3, 5, 7, 79], [2, None, 2, 1, -6])
([3, 3, 5, 7, 73], [2, None, 2, 1, -7])
([3, 3, 5, 7, 71], [2, None, 2, 1, -8])
([3, 3, 5, 7, 67], [2, None, 2, 1, -9])
([3, 3, 5, 7, 61], [2, None, 2, 1, -10])
([3, 3, 5, 7, 59], [2, None, 2, 1, -11])
([3, 3, 5, 7, 53], [2, None, 2, 1, -12])
([3, 3, 5, 7, 47], [2, None, 2, 1, -13])
([3, 3, 5, 7, 43], [2, None, 2, 1, -14])
([3, 3, 5, 7, 41], [2, None, 2, 1, -15])
([3, 3, 5, 7, 37], [2, None, 2, 1, -16])
([3, 3, 5, 7, 31], [2, None, 2, 1, -17])
([3, 3, 5, 7, 29], [2, None, 2, 1, -18])
([3, 3, 5, 7, 23], [2, None, 2, 1, -19])
([3, 3, 5, 7, 19], [2, None, 2, 1, -20])
([3, 3, 5, 7, 17], [2, None, 2, 1, -21])
([3, 3, 5, 7, 13], [2, None, 2, 1, -22])
([3, 3, 5, 7, 11], [2, None, 2, 1, -23])
([3, 3, 5, 7, 7], [2, None, 2, 1, None])
([3, 3, 5, 11, 17], [2, None, 2, 2, -1])
([3, 3, 5, 11, 13], [2, None, 2, 2, -2])
([3, 5, 5, 7, 17], [2, 2, None, 2, -1])
([3, 5, 5, 7, 13], [2, 2, None, 2, -2])
([3, 5, 5, 7, 11], [2, 2, None, 2, -3])
([3, 5, 7, 7, 13], [2, 2, 2, None, -1])
([3, 5, 7, 7, 11], [2, 2, 2, None, -2])
([3, 5, 7, 11, 11], [2, 2, 2, 1, None])
